sector,subsector,segmento,short_name,ticker,seg_mercado,img_id
Consumo não Cíclico,Comércio e Distribuição,Alimentos,CARREFOUR BR,CRFB,NM             ,298.jpg
Financeiro,Intermediários Financeiros,Soc. Crédito e Financiamento,ALFA FINANC ,CRIV,,346.jpg
Materiais Básicos,Químicos,Químicos Diversos,CRISTAL,CRPG,,389.jpg
Bens Industriais,Transporte,Exploração de Rodovias,CONC RIO TER,CRTE,MB             ,
Financeiro,Previdência e Seguros,Seguradoras,SEG AL BAHIA,CSAB,,358.jpg
"Petróleo, Gás e Biocombustíveis","Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição",COSAN       ,CSAN,NM             ,403.jpg
Utilidade Pública,Água e Saneamento,Água e Saneamento,COPASA      ,CSMG,NM             ,442.jpg
Materiais Básicos,Siderurgia e Metalurgia,Siderurgia,SID NACIONAL,CSNA,,397.jpg
Utilidade Pública,Energia Elétrica,Energia Elétrica,COSERN      ,CSRN,,459.jpg
Financeiro,Outros Títulos,Outros Títulos,CEPAC - CTBA,CTBA,MB             ,
Consumo Cíclico,"Tecidos, Vestuário e Calçados",Fios e Tecidos,KARSTEN     ,CTKA,,266.jpg
Consumo Cíclico,"Tecidos, Vestuário e Calçados",Fios e Tecidos,COTEMINAS   ,CTNM,,262.jpg
Consumo Cíclico,"Tecidos, Vestuário e Calçados",Fios e Tecidos,SANTANENSE  ,CTSA,,263.jpg
Consumo Cíclico,Viagens e Lazer,Viagens e Turismo,CVC BRASIL,CVCB,NM             ,279.jpg
Consumo Cíclico,Construção Civil,Incorporações,CYRELA REALT,CYRE,NM             ,230.jpg
Saúde,"Serviços Médico - Hospitalares, Análises e Diagnósticos","Serviços Médico - Hospitalares, Análises e Diagnósticos",DASA        ,DASA,,424.jpg
Financeiro,Intermediários Financeiros,Soc. Arrendamento Mercantil,DIBENS LSG  ,DBEN,,
Consumo Cíclico,Construção Civil,Incorporações,DIRECIONAL  ,DIRR,NM             ,231.jpg
"Petróleo, Gás e Biocombustíveis","Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição",DOMMO,DMMO,,404.jpg
Consumo Cíclico,"Tecidos, Vestuário e Calçados",Fios e Tecidos,DOHLER      ,DOHL,,264.jpg
Bens Industriais,Serviços Diversos,Serviços Diversos,DTCOM-DIRECT,DTCY,,171.jpg
Materiais Básicos,Madeira e Papel,Madeira,DURATEX     ,DTEX,NM             ,372.jpg
Bens Industriais,Máquinas e Equipamentos,Máq. e Equip. Industriais,ACO ALTONA  ,EALT,,181.jpg
Utilidade Pública,Energia Elétrica,Energia Elétrica,EBE         ,EBEN,,
Bens Industriais,Transporte,Exploração de Rodovias,ECONORTE    ,ECNT,,
Financeiro,Securitizadoras de Recebíveis,Securitizadoras de Recebíveis,ECO SEC AGRO,ECOA,MB             ,
Bens Industriais,Transporte,Exploração de Rodovias,ECORODOVIAS ,ECOR,NM             ,199.jpg
Bens Industriais,Transporte,Exploração de Rodovias,ECOVIAS     ,ECOV,,
Consumo Cíclico,"Tecidos, Vestuário e Calçados",Fios e Tecidos,ENCORPAR    ,ECPR,,265.jpg
Utilidade Pública,Energia Elétrica,Energia Elétrica,CEEE-GT     ,EEEL,N1             ,461.jpg
Utilidade Pública,Energia Elétrica,Energia Elétrica,ENGIE BRASIL,EGIE,NM             ,473.jpg
Utilidade Pública,Energia Elétrica,Energia Elétrica,ELEKTRO     ,EKTR,,466.jpg
Materiais Básicos,Químicos,Petroquímicos,ELEKEIROZ   ,ELEK,,387.jpg
Utilidade Pública,Energia Elétrica,Energia Elétrica,ELETROBRAS  ,ELET,N1             ,448.jpg
Utilidade Pública,Energia Elétrica,Energia Elétrica,EMAE        ,EMAE,,469.jpg
Bens Industriais,Material de Transporte,Material Aeronáutico e de Defesa,EMBRAER     ,EMBR,NM             ,190.jpg
"Petróleo, Gás e Biocombustíveis","Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição",ENAUTA PART,ENAT,NM             ,487.jpg
Utilidade Pública,Energia Elétrica,Energia Elétrica,ENERGIAS BR ,ENBR,NM             ,495.jpg
Utilidade Pública,Energia Elétrica,Energia Elétrica,ENERSUL     ,ENER,,
Utilidade Pública,Energia Elétrica,Energia Elétrica,ENEVA,ENEV,NM             ,472.jpg
Utilidade Pública,Energia Elétrica,Energia Elétrica,ENERGISA    ,ENGI,N2             ,471.jpg
Utilidade Pública,Energia Elétrica,Energia Elétrica,ENERGISA MT,ENMT,,470.jpg
Utilidade Pública,Energia Elétrica,Energia Elétrica,EQTLMARANHAO,EQMA,MB             ,
Utilidade Pública,Energia Elétrica,Energia Elétrica,EQTL PARA,EQPA,,450.jpg
Utilidade Pública,Energia Elétrica,Energia Elétrica,EQUATORIAL  ,EQTL,NM             ,474.jpg
Bens Industriais,Transporte,Exploração de Rodovias,ECON        ,ERDV,,
Utilidade Pública,Energia Elétrica,Energia Elétrica,ESCELSA     ,ESCE,,
Consumo Cíclico,Viagens e Lazer,Brinquedos e Jogos,ESTRELA     ,ESTR,,276.jpg
Bens Industriais,Construção e Engenharia,Produtos para Construção,ETERNIT     ,ETER,NM             ,167.jpg
Outros,Outros,Outros,ELETRON     ,ETRO,MB             ,
Materiais Básicos,Madeira e Papel,Madeira,EUCATEX     ,EUCA,N1             ,373.jpg
Consumo Cíclico,Construção Civil,Incorporações,EVEN        ,EVEN,NM             ,232.jpg
Consumo Cíclico,Construção Civil,Incorporações,EZTEC       ,EZTC,NM             ,233.jpg
Materiais Básicos,Siderurgia e Metalurgia,Siderurgia,FERBASA     ,FESA,N1             ,396.jpg
Utilidade Pública,Energia Elétrica,Energia Elétrica,FGENERGIA,FGEN,,
Materiais Básicos,Químicos,Fertilizantes e Defensivos,FER HERINGER,FHER,NM             ,385.jpg
Outros,Outros,Outros,INVEST BEMGE,FIGE,,353.jpg
Bens Industriais,Serviços Diversos,Serviços Diversos,FLEX S/A,FLEX,MA,172.jpg
Saúde,"Serviços Médico - Hospitalares, Análises e Diagnósticos","Serviços Médico - Hospitalares, Análises e Diagnósticos",FLEURY      ,FLRY,NM             ,425.jpg
Financeiro,Intermediários Financeiros,Soc. Crédito e Financiamento,FINANSINOS  ,FNCN,,561.jpg
Bens Industriais,Material de Transporte,Material Rodoviário,FRAS-LE     ,FRAS,N1             ,191.jpg
Bens Industriais,Máquinas e Equipamentos,Máq. e Equip. Industriais,METALFRIO   ,FRIO,NM             ,185.jpg
Bens Industriais,Transporte,Transporte Ferroviário,ALL NORTE   ,FRRN,MB             ,
Consumo não Cíclico,Agropecuária,Agricultura,POMIFRUTAS,FRTA,NM             ,281.jpg
Financeiro,Securitizadoras de Recebíveis,Securitizadoras de Recebíveis,GAIA AGRO   ,GAFL,,
Financeiro,Securitizadoras de Recebíveis,Securitizadoras de Recebíveis,GAIA SECURIT,GAIA,MB             ,
Bens Industriais,Transporte,Transporte Ferroviário,ALL PAULISTA,GASC,MB             ,
Saúde,Medicamentos e Outros Produtos,Medicamentos e Outros Produtos,BIOTOSCANA,GBIO,DR3,
Utilidade Pública,Energia Elétrica,Energia Elétrica,GER PARANAP ,GEPA,,479.jpg
Consumo Cíclico,Construção Civil,Incorporações,GAFISA      ,GFSA,NM             ,234.jpg
Materiais Básicos,Siderurgia e Metalurgia,Siderurgia,GERDAU      ,GGBR,N1             ,398.jpg
Saúde,"Serviços Médico - Hospitalares, Análises e Diagnósticos","Serviços Médico - Hospitalares, Análises e Diagnósticos",INTERMEDICA,GNDI,NM             ,428.jpg
Materiais Básicos,Siderurgia e Metalurgia,Siderurgia,GERDAU MET  ,GOAU,N1             ,399.jpg
Bens Industriais,Transporte,Transporte Aéreo,GOL         ,GOLL,N2             ,203.jpg
Utilidade Pública,Energia Elétrica,Energia Elétrica,CELGPAR     ,GPAR,,452.jpg
Materiais Básicos,Químicos,Petroquímicos,GPC PART    ,GPCP,,388.jpg
Financeiro,Serviços Financeiros Diversos,Gestão de Recursos e Investimentos,GP INVEST   ,GPIV,DR3,
Consumo Cíclico,"Tecidos, Vestuário e Calçados",Calçados,GRENDENE    ,GRND,NM             ,484.jpg
Financeiro,Exploração de Imóveis,Exploração de Imóveis,GENERALSHOPP,GSHP,NM             ,308.jpg
Consumo Cíclico,Comércio,"Tecidos, Vestuário e Calçados",GUARARAPES  ,GUAR,,223.jpg
Bens Industriais,Construção e Engenharia,Produtos para Construção,HAGA S/A    ,HAGA,,168.jpg
Saúde,"Serviços Médico - Hospitalares, Análises e Diagnósticos","Serviços Médico - Hospitalares, Análises e Diagnósticos",HAPVIDA,HAPV,NM             ,426.jpg
Consumo Cíclico,Construção Civil,Incorporações,HELBOR      ,HBOR,NM             ,235.jpg
Financeiro,Exploração de Imóveis,Exploração de Imóveis,HABITASUL   ,HBTS,,305.jpg
Consumo Cíclico,Utilidades Domésticas,Utensílios Domésticos,HERCULES    ,HETA,,273.jpg
Consumo Cíclico,"Tecidos, Vestuário e Calçados",Vestuário,CIA HERING  ,HGTX,NM             ,271.jpg
Consumo Cíclico,Hoteis e Restaurantes,Hotelaria,HOTEIS OTHON,HOOT,,562.jpg
Saúde,Comércio e Distribuição,Medicamentos e Outros Produtos,HYPERA,HYPE,NM             ,417.jpg
Financeiro,Serviços Financeiros Diversos,Gestão de Recursos e Investimentos,IDEIASNET   ,IDNT,,370.jpg
Financeiro,Intermediários Financeiros,Bancos,INDUSVAL    ,IDVL,N2             ,336.jpg
Financeiro,Exploração de Imóveis,Exploração de Imóveis,IGB S/A     ,IGBR,,309.jpg
Utilidade Pública,Água e Saneamento,Água e Saneamento,IGUA SA  ,IGSN,MA,563.jpg
Financeiro,Exploração de Imóveis,Exploração de Imóveis,IGUATEMI    ,IGTA,NM             ,310.jpg
Bens Industriais,Máquinas e Equipamentos,Máq. e Equip. Industriais,INEPAR      ,INEP,,183.jpg
Consumo Cíclico,Construção Civil,Incorporações,INTER SA ,INNT,MA,564.jpg
Financeiro,Previdência e Seguros,Seguradoras,IRBBRASIL RE,IRBR,NM             ,360.jpg
Utilidade Pública,Energia Elétrica,Energia Elétrica,ITAPEBI     ,ITPB,,
Financeiro,Intermediários Financeiros,Bancos,ITAUSA      ,ITSA,N1             ,345.jpg
Financeiro,Intermediários Financeiros,Bancos,ITAUUNIBANCO,ITUB,N1             ,344.jpg
Bens Industriais,Transporte,Serviços de Apoio e Armazenagem,INVEPAR     ,IVPR,MB             ,
Outros,Outros,Outros,J B DUARTE  ,JBDU,,321.jpg
Consumo não Cíclico,Alimentos Processados,Carnes e Derivados,JBS         ,JBSS,NM             ,293.jpg
Consumo Cíclico,Construção Civil,Incorporações,JOAO FORTES ,JFEN,,237.jpg
Consumo Cíclico,Construção Civil,Incorporações,JHSF PART   ,JHSF,NM             ,236.jpg
Consumo não Cíclico,Alimentos Processados,Alimentos Diversos,J.MACEDO    ,JMCD,,
Consumo não Cíclico,Alimentos Processados,Alimentos Diversos,JOSAPAR     ,JOPA,,289.jpg
Financeiro,Exploração de Imóveis,Exploração de Imóveis,JEREISSATI  ,JPSA,,311.jpg
Bens Industriais,Transporte,Transporte Rodoviário,JSL         ,JSLG,NM             ,210.jpg
Bens Industriais,Máquinas e Equipamentos,Máq. e Equip. Industriais,KEPLER WEBER,KEPL,,184.jpg
Materiais Básicos,Madeira e Papel,Papel e Celulose,KLABIN S/A  ,KLBN,N2,376.jpg
Consumo Cíclico,Comércio,Produtos Diversos,LOJAS AMERIC,LAME,N1             ,219.jpg
Consumo Cíclico,Diversos,Aluguel de carros,LOCAMERICA,LCAM,NM             ,245.jpg
Consumo Cíclico,Automóveis e Motocicletas,Automóveis e Motocicletas,METAL LEVE  ,LEVE,NM             ,213.jpg
Utilidade Pública,Energia Elétrica,Energia Elétrica,LIGHT       ,LIGH,,
Utilidade Pública,Energia Elétrica,Energia Elétrica,LIGHT S/A   ,LIGT,NM             ,475.jpg
Tecnologia da Informação,Programas e Serviços,Programas e Serviços,LINX,LINX,NM             ,433.jpg
Utilidade Pública,Energia Elétrica,Energia Elétrica,ELETROPAR   ,LIPR,,467.jpg
Bens Industriais,Serviços Diversos,Serviços Diversos,LIQ,LIQO,NM             ,173.jpg
Consumo Cíclico,Comércio,"Tecidos, Vestuário e Calçados",LE LIS BLANC,LLIS,NM             ,226.jpg
Saúde,Equipamentos,Equipamentos,LIFEMED,LMED,MA,
Financeiro,Exploração de Imóveis,Exploração de Imóveis,LOG COM PROP,LOGG,NM             ,486.jpg
Bens Industriais,Transporte,Transporte Hidroviário,LOG-IN      ,LOGN,NM             ,208.jpg
Financeiro,Exploração de Imóveis,Intermediação Imobiliária,LOPES BRASIL,LPSB,NM             ,317.jpg
Consumo Cíclico,Comércio,"Tecidos, Vestuário e Calçados",LOJAS RENNER,LREN,NM             ,224.jpg
Materiais Básicos,Mineração,Minerais Metálicos,LITEL       ,LTEL,MB             ,
Materiais Básicos,Mineração,Minerais Metálicos,LITELA,LTLA,MB             ,
"Petróleo, Gás e Biocombustíveis","Petróleo, Gás e Biocombustíveis",Equipamentos e Serviços,LUPATECH    ,LUPA,NM             ,401.jpg
Bens Industriais,Transporte,Transporte Hidroviário,TREVISA     ,LUXM,,209.jpg
Outros,Outros,Outros,CEMEPE      ,MAPT,,351.jpg
Financeiro,Outros Títulos,Outros Títulos,CEPAC - MCRJ,MCRJ,MB             ,
Consumo não Cíclico,Alimentos Processados,Alimentos Diversos,M.DIASBRANCO,MDIA,NM             ,290.jpg
Consumo Cíclico,Hoteis e Restaurantes,Restaurante e Similares,IMC S/A,MEAL,NM             ,257.jpg
Financeiro,Intermediários Financeiros,Soc. Crédito e Financiamento,MERC FINANC ,MERC,,347.jpg
Materiais Básicos,Siderurgia e Metalurgia,Artefatos de Ferro e Aço,MANGELS INDL,MGEL,,393.jpg
Outros,Outros,Outros,MGI PARTICIP,MGIP,,
Consumo Cíclico,Comércio,Eletrodomésticos,MAGAZ LUIZA ,MGLU,NM             ,215.jpg
Bens Industriais,Construção e Engenharia,Serviços Diversos,MILLS       ,MILS,NM             ,174.jpg
Bens Industriais,Comércio,Material de Transporte,MINASMAQUINA,MMAQ,,161.jpg
Materiais Básicos,Mineração,Minerais Metálicos,MMX MINER   ,MMXM,NM             ,383.jpg
Consumo Cíclico,"Tecidos, Vestuário e Calçados",Acessórios,MUNDIAL     ,MNDL,,259.jpg
Consumo não Cíclico,Alimentos Processados,Carnes e Derivados,MINUPAR     ,MNPR,,296.jpg
Financeiro,Exploração de Imóveis,Exploração de Imóveis,MENEZES CORT,MNZC,MB             ,
Financeiro,Holdings Diversificadas,Holdings Diversificadas,MONT ARANHA ,MOAR,,322.jpg
Consumo Cíclico,Diversos,Aluguel de carros,MOVIDA,MOVI,NM             ,247.jpg
Consumo não Cíclico,Alimentos Processados,Carnes e Derivados,MARFRIG     ,MRFG,NM             ,294.jpg
Bens Industriais,Transporte,Transporte Ferroviário,MRS LOGIST  ,MRSA,MB             ,
Consumo Cíclico,Construção Civil,Incorporações,MRV         ,MRVE,NM             ,238.jpg
Materiais Básicos,Madeira e Papel,Papel e Celulose,MELHOR SP   ,MSPA,,258.jpg
Consumo Cíclico,Diversos,Aluguel de carros,MAESTROLOC,MSRO,M2,565.jpg
Materiais Básicos,Embalagens,Embalagens,METAL IGUACU,MTIG,,371.jpg
Bens Industriais,Máquinas e Equipamentos,Máq. e Equip. Construção e Agrícolas,METISA      ,MTSA,,178.jpg
Financeiro,Exploração de Imóveis,Exploração de Imóveis,MULTIPLAN   ,MULT,N2             ,313.jpg
Bens Industriais,Material de Transporte,Material Rodoviário,WETZEL S/A  ,MWET,,197.jpg
Consumo Cíclico,Automóveis e Motocicletas,Automóveis e Motocicletas,IOCHP-MAXION,MYPK,NM             ,212.jpg
Consumo Cíclico,Utilidades Domésticas,Utensílios Domésticos,NADIR FIGUEI,NAFG,,274.jpg
Materiais Básicos,Madeira e Papel,Papel e Celulose,SUZANO HOLD ,NEMO,,377.jpg
Utilidade Pública,Energia Elétrica,Energia Elétrica,NEOENERGIA  ,NEOE,NM             ,496.jpg
Bens Industriais,Máquinas e Equipamentos,Máq. e Equip. Industriais,NORDON MET  ,NORD,,186.jpg
Saúde,Medicamentos e Outros Produtos,Medicamentos e Outros Produtos,NORTCQUIMICA,NRTQ,MA,566.jpg
Consumo não Cíclico,Produtos de Uso Pessoal e de Limpeza,Produtos de Uso Pessoal,GRUPO NATURA      ,NTCO,NM             ,301.jpg
Materiais Básicos,Químicos,Fertilizantes e Defensivos,NUTRIPLANT  ,NUTR,MA             ,
Financeiro,Securitizadoras de Recebíveis,Securitizadoras de Recebíveis,OCTANTE SEC,OCTS,,
Consumo não Cíclico,Alimentos Processados,Alimentos Diversos,ODERICH     ,ODER,,288.jpg
Saúde,"Serviços Médico - Hospitalares, Análises e Diagnósticos","Serviços Médico - Hospitalares, Análises e Diagnósticos",ODONTOPREV  ,ODPV,NM             ,429.jpg
Saúde,Medicamentos e Outros Produtos,Medicamentos e Outros Produtos,OUROFINO S/A,OFSA,NM             ,418.jpg
Comunicações,Telecomunicações,Telecomunicações,OI,OIBR,N1,436.jpg
Utilidade Pública,Energia Elétrica,Energia Elétrica,OMEGA GER,OMGE,NM             ,476.jpg
Outros,Outros,Outros,GAMA PART   ,OPGM,MB             ,
Outros,Outros,Outros,OPPORT ENERG,OPHE,MB             ,
Outros,Outros,Outros,SUDESTE S/A ,OPSE,MB             ,
Outros,Outros,Outros,SUL 116 PART,OPTS,MB             ,
"Petróleo, Gás e Biocombustíveis","Petróleo, Gás e Biocombustíveis",Equipamentos e Serviços,OSX BRASIL  ,OSXB,NM             ,402.jpg
Utilidade Pública,Energia Elétrica,Energia Elétrica,PAUL F LUZ  ,PALF,,
Saúde,"Serviços Médico - Hospitalares, Análises e Diagnósticos","Serviços Médico - Hospitalares, Análises e Diagnósticos",IHPARDINI,PARD,NM             ,427.jpg
Materiais Básicos,Siderurgia e Metalurgia,Artefatos de Ferro e Aço,PANATLANTICA,PATI,,394.jpg
Consumo não Cíclico,Comércio e Distribuição,Alimentos,P.ACUCAR-CBD,PCAR,N1             ,299.jpg
Consumo Cíclico,Construção Civil,Incorporações,PDG REALT   ,PDGR,NM             ,239.jpg
Financeiro,Securitizadoras de Recebíveis,Securitizadoras de Recebíveis,PDG SECURIT ,PDGS,,
Financeiro,Holdings Diversificadas,Holdings Diversificadas,PAR AL BAHIA,PEAB,,320.jpg
"Petróleo, Gás e Biocombustíveis","Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição",PETROBRAS   ,PETR,N2,408.jpg
Saúde,Comércio e Distribuição,Medicamentos e Outros Produtos,PROFARMA    ,PFRM,NM             ,419.jpg
Financeiro,Intermediários Financeiros,Bancos,PINE        ,PINE,N2             ,342.jpg
Consumo Cíclico,Automóveis e Motocicletas,Automóveis e Motocicletas,PLASCAR PART,PLAS,,214.jpg
Financeiro,Securitizadoras de Recebíveis,Securitizadoras de Recebíveis,POLO CAP SEC,PLSC,,
Materiais Básicos,Siderurgia e Metalurgia,Artefatos de Cobre,PARANAPANEMA,PMAM,NM             ,391.jpg
Financeiro,Outros Títulos,Outros Títulos,CEPAC - PMSP,PMSP,MB             ,
Saúde,Comércio e Distribuição,Medicamentos e Outros Produtos,DIMED       ,PNVL,,416.jpg
Bens Industriais,Material de Transporte,Material Rodoviário,MARCOPOLO   ,POMO,N2             ,192.jpg
Tecnologia da Informação,Computadores e Equipamentos,Computadores e Equipamentos,POSITIVO TEC,POSI,NM             ,432.jpg
Outros,Outros,Outros,POLPAR      ,PPAR,,567.jpg
Financeiro,Serviços Financeiros Diversos,Gestão de Recursos e Investimentos,PPLA,PPLA,DR3,365.jpg
Financeiro,Intermediários Financeiros,Bancos,PARANA      ,PRBC,,
"Petróleo, Gás e Biocombustíveis","Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição",PETRORIO,PRIO,NM             ,406.jpg
Utilidade Pública,Energia Elétrica,Energia Elétrica,PROMAN      ,PRMN,MB             ,
Bens Industriais,Serviços Diversos,Serviços Diversos,PRINER,PRNR,MA,175.jpg
Outros,Outros,Outros,PROMPT PART ,PRPT,MB             ,
Financeiro,Previdência e Seguros,Seguradoras,PORTO SEGURO,PSSA,NM             ,361.jpg
Bens Industriais,Transporte,Serviços de Apoio e Armazenagem,PORTO VM,PSVM,,
Bens Industriais,Construção e Engenharia,Produtos para Construção,PORTOBELLO  ,PTBL,NM             ,169.jpg
Bens Industriais,Máquinas e Equipamentos,Máq. e Equip. Industriais,PRATICA,PTCA,M2,187.jpg
Consumo Cíclico,"Tecidos, Vestuário e Calçados",Fios e Tecidos,PETTENATI   ,PTNT,,267.jpg
Saúde,"Serviços Médico - Hospitalares, Análises e Diagnósticos","Serviços Médico - Hospitalares, Análises e Diagnósticos",QUALICORP   ,QUAL,NM             ,430.jpg
Tecnologia da Informação,Programas e Serviços,Programas e Serviços,QUALITY SOFT,QUSW,MA,568.jpg
Outros,Outros,Outros,524 PARTICIP,QVQP,MB             ,
Saúde,Comércio e Distribuição,Medicamentos e Outros Produtos,RAIADROGASIL    ,RADL,NM             ,420.jpg
Bens Industriais,Transporte,Transporte Ferroviário,RUMO S.A.,RAIL,NM             ,207.jpg
Materiais Básicos,Madeira e Papel,Papel e Celulose,CELUL IRANI ,RANI,,374.jpg
Bens Industriais,Material de Transporte,Material Rodoviário,RANDON PART ,RAPT,N1             ,194.jpg
Financeiro,Securitizadoras de Recebíveis,Securitizadoras de Recebíveis,RBCAPITALSEC,RBCS,MB             ,
